run_id,episode,avg_reward,avg_queue,epsilon,lr,gamma,loss
run_1778424061,144,-0.077750,6.2200,0.1758,0.001,0.99,0.003676
run_1778424061,145,-0.079833,6.3867,0.1737,0.001,0.99,0.004308
run_1778424061,146,-0.075333,6.0267,0.1716,0.001,0.99,0.003857
run_1778424061,147,-0.074417,5.9533,0.1695,0.001,0.99,0.003896
run_1778424061,148,-0.074500,5.9600,0.1675,0.001,0.99,0.003824
run_1778424061,149,-0.072792,5.8233,0.1655,0.001,0.99,0.003740
run_1778424061,150,-0.080500,6.4400,0.1635,0.001,0.99,0.003713
run_1778424061,151,-0.073875,5.9100,0.1615,0.001,0.99,0.004420
run_1778424061,152,-0.066875,5.3500,0.1596,0.001,0.99,0.004444
run_1778424061,153,-0.069000,5.5200,0.1577,0.001,0.99,0.003984
run_1778424061,154,-0.078375,6.2700,0.1558,0.001,0.99,0.003847
run_1778424061,155,-0.081583,6.5267,0.1539,0.001,0.99,0.003861
run_1778424061,156,-0.065375,5.2300,0.1521,0.001,0.99,0.003838
run_1778424061,157,-0.077083,6.1667,0.1503,0.001,0.99,0.003590
run_1778424061,158,-0.078000,6.2400,0.1485,0.001,0.99,0.004193
run_1778424061,159,-0.091500,7.3200,0.1467,0.001,0.99,0.003858
run_1778424061,160,-0.069583,5.5667,0.1449,0.001,0.99,0.003965
run_1778424061,161,-0.077417,6.1933,0.1432,0.001,0.99,0.004361
run_1778424061,162,-0.074875,5.9900,0.1415,0.001,0.99,0.004028
run_1778424061,163,-0.069083,5.5267,0.1398,0.001,0.99,0.004042
run_1778424061,164,-0.075000,6.0000,0.1381,0.001,0.99,0.004308
run_1778424061,165,-0.071625,5.7300,0.1364,0.001,0.99,0.004189
run_1778424061,166,-0.071750,5.7400,0.1348,0.001,0.99,0.004240
run_1778424061,167,-0.072292,5.7833,0.1332,0.001,0.99,0.004217
run_1778424061,168,-0.079667,6.3733,0.1316,0.001,0.99,0.004350
run_1778424061,169,-0.077333,6.1867,0.1300,0.001,0.99,0.004371
run_1778424061,170,-0.067292,5.3833,0.1284,0.001,0.99,0.004253
run_1778424061,171,-0.067708,5.4167,0.1269,0.001,0.99,0.004627
run_1778424061,172,-0.078333,6.2667,0.1254,0.001,0.99,0.004347
run_1778424061,173,-0.069042,5.5233,0.1239,0.001,0.99,0.004900
run_1778424061,174,-0.078667,6.2933,0.1224,0.001,0.99,0.004396
run_1778424061,175,-0.068417,5.4733,0.1209,0.001,0.99,0.004439
run_1778424061,176,-0.074750,5.9800,0.1195,0.001,0.99,0.004272
run_1778424061,177,-0.072917,5.8333,0.1180,0.001,0.99,0.004588
run_1778424061,178,-0.069958,5.5967,0.1166,0.001,0.99,0.004555
run_1778424061,179,-0.073167,5.8533,0.1152,0.001,0.99,0.005192
run_1778424061,180,-0.073125,5.8500,0.1138,0.001,0.99,0.003712
run_1778424061,181,-0.064625,5.1700,0.1125,0.001,0.99,0.005156
run_1778424061,182,-0.070500,5.6400,0.1111,0.001,0.99,0.004794
run_1778424061,183,-0.076250,6.1000,0.1098,0.001,0.99,0.004696
run_1778424061,184,-0.076875,6.1500,0.1085,0.001,0.99,0.004843
run_1778424061,185,-0.071167,5.6933,0.1072,0.001,0.99,0.004496
run_1778424061,186,-0.072250,5.7800,0.1059,0.001,0.99,0.005000
run_1778424061,187,-0.066458,5.3167,0.1046,0.001,0.99,0.004382
run_1778424061,188,-0.072417,5.7933,0.1033,0.001,0.99,0.004647
run_1778424061,189,-0.073083,5.8467,0.1021,0.001,0.99,0.004672
run_1778424061,190,-0.063875,5.1100,0.1009,0.001,0.99,0.004887
run_1778424061,191,-0.066875,5.3500,0.0997,0.001,0.99,0.005606
run_1778424061,192,-0.064000,5.1200,0.0985,0.001,0.99,0.005312
run_1778424061,193,-0.069625,5.5700,0.0973,0.001,0.99,0.004240
run_1778424061,194,-0.100667,8.0533,0.0961,0.001,0.99,0.005178
