run_id,episode,avg_reward,avg_queue,epsilon,lr,gamma,loss
dqn_v1_baseline,215,-0.076042,6.0833,0.0746,0.001,0.99,0.005664
dqn_v1_baseline,216,-0.076917,6.1533,0.0737,0.001,0.99,0.005861
dqn_v1_baseline,217,-0.073250,5.8600,0.0728,0.001,0.99,0.006004
dqn_v1_baseline,218,-0.071875,5.7500,0.0719,0.001,0.99,0.006111
dqn_v1_baseline,219,-0.067625,5.4100,0.0711,0.001,0.99,0.005910
dqn_v1_baseline,220,-0.072042,5.7633,0.0702,0.001,0.99,0.005414
dqn_v1_baseline,221,-0.070875,5.6700,0.0694,0.001,0.99,0.006736
dqn_v1_baseline,222,-0.080500,6.4400,0.0686,0.001,0.99,0.006781
dqn_v1_baseline,223,-0.074458,5.9567,0.0677,0.001,0.99,0.006657
dqn_v1_baseline,224,-0.072792,5.8233,0.0669,0.001,0.99,0.006468
dqn_v1_baseline,225,-0.072542,5.8033,0.0661,0.001,0.99,0.005508
dqn_v1_baseline,226,-0.066417,5.3133,0.0653,0.001,0.99,0.005706
dqn_v1_baseline,227,-0.064917,5.1933,0.0645,0.001,0.99,0.006308
dqn_v1_baseline,228,-0.060958,4.8767,0.0638,0.001,0.99,0.006064
dqn_v1_baseline,229,-0.077667,6.2133,0.0630,0.001,0.99,0.007111
dqn_v1_baseline,230,-0.068250,5.4600,0.0622,0.001,0.99,0.006056
dqn_v1_baseline,231,-0.073625,5.8900,0.0615,0.001,0.99,0.007134
dqn_v1_baseline,232,-0.072583,5.8067,0.0608,0.001,0.99,0.007865
dqn_v1_baseline,233,-0.070500,5.6400,0.0600,0.001,0.99,0.006752
dqn_v1_baseline,234,-0.076583,6.1267,0.0593,0.001,0.99,0.007297
dqn_v1_baseline,235,-0.081375,6.5100,0.0586,0.001,0.99,0.006638
dqn_v1_baseline,236,-0.075167,6.0133,0.0579,0.001,0.99,0.007300
dqn_v1_baseline,237,-0.065375,5.2300,0.0572,0.001,0.99,0.007472
